CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
HT469918,9400 S INDIANA AVE,ROSELAND,SIDEWALK
HT470100,10700 S CALHOUN AVE,SOUTH DEERING,STREET
HX383582,7100 S GREEN ST,ENGLEWOOD,STREET
HX383998,11600 S STEWART AVE,WEST PULLMAN,GANGWAY
HX389383,3500 S INDIANA AVE,DOUGLAS,STREET
HX389443,7200 S LAFLIN ST,WEST ENGLEWOOD,STREET
HX391815,400 W 104TH ST,ROSELAND,ALLEY
HX393310,800 S CENTRAL PARK AVE,EAST GARFIELD PARK,STREET
HX397375,7200 S WINCHESTER AVE,WEST ENGLEWOOD,STREET
HT472350,900 E 85TH ST,CHATHAM,OTHER
HT472878,4900 W NEWPORT AVE,PORTAGE PARK,STREET
HX400241,2100 S MARSHALL BLVD,SOUTH LAWNDALE,STREET
HX402684,6700 S PARNELL AVE,ENGLEWOOD,PORCH
HX403323,5700 S MARSHFIELD AVE,WEST ENGLEWOOD,HOUSE
HX409464,4100 W 26TH ST,SOUTH LAWNDALE,STREET
HX410692,4300 W 25TH PL,SOUTH LAWNDALE,STREET
HX417437,1500 S LAWNDALE AVE,NORTH LAWNDALE,STREET
HX418402,7200 S DAMEN AVE,WEST ENGLEWOOD,STREET
HX426957,3900 S PRAIRIE AVE,GRAND BOULEVARD,PORCH
HX428078,4100 W 16TH ST,NORTH LAWNDALE,STREET
HT476251,4700 W DIVISION ST,AUSTIN,STREET
HX432052,1000 W 61ST ST,ENGLEWOOD,AUTO
HX434732,1600 W 61ST ST,WEST ENGLEWOOD,PORCH
HT476788,8200 S DREXEL AVE,CHATHAM,SIDEWALK
HX435403,7300 S HALSTED ST,ENGLEWOOD,STREET
HX436586,3900 W FERDINAND ST,HUMBOLDT PARK,STREET
HX444151,1900 W 59TH ST,WEST ENGLEWOOD,BARBER SHOP/BEAUTY SALON
HX444807,5700 S ABERDEEN ST,ENGLEWOOD,STREET
HX448843,900 S INDEPENDENCE BLVD,NORTH LAWNDALE,ALLEY
HX448978,600 N RIDGEWAY AVE,HUMBOLDT PARK,STREET
HX454514,4400 W VAN BUREN ST,WEST GARFIELD PARK,STREET
HX457560,0 E 44TH ST,GRAND BOULEVARD,AUTO
HX458493,10700 S WENTWORTH AVE,ROSELAND,STREET
HT478982,1100 N WOLCOTT AVE,WEST TOWN,ALLEY
HT479006,4200 N KEYSTONE AVE,IRVING PARK,SIDEWALK
HX460570,700 S SPRINGFIELD AVE,WEST GARFIELD PARK,PARK PROPERTY
HT479083,10500 S HOXIE AVE,SOUTH DEERING,STREET
HX463042,8800 S CARPENTER ST,AUBURN GRESHAM,STREET
HX463147,4400 W MADISON ST,WEST GARFIELD PARK,BARBER SHOP/BEAUTY SALON
HX470450,5100 W FULTON ST,AUSTIN,APARTMENT
HT480071,0 E 113TH PL,ROSELAND,ALLEY
HX472024,6700 S THROOP ST,WEST ENGLEWOOD,HALLWAY
HT480480,6200 W ADDISON ST,DUNNING,STREET
HX479519,1400 W 72ND PL,WEST ENGLEWOOD,STREET
HT482840,400 W 80TH ST,CHATHAM,RESIDENCE PORCH/HALLWAY
HT483766,5700 N KENMORE AVE,EDGEWATER,SIDEWALK
HX480966,5500 W CORCORAN PL,AUSTIN,STREET
HX484373,700 N TRUMBULL AVE,HUMBOLDT PARK,STREET
HX486857,0 N LOREL AVE,AUSTIN,APARTMENT
HX489921,5200 W MADISON ST,AUSTIN,RESTAURANT
HX491289,6700 S MORGAN ST,ENGLEWOOD,YARD
HX492968,700 S KARLOV AVE,WEST GARFIELD PARK,STREET
HX495137,600 N AVERS AVE,HUMBOLDT PARK,PORCH
HX496211,100 S PULASKI RD,WEST GARFIELD PARK,RESTAURANT
HX509343,11600 S RACINE AVE,WEST PULLMAN,STREET
HX511003,700 N SPAULDING AVE,HUMBOLDT PARK,ALLEY
HX512476,700 N ST LOUIS AVE,HUMBOLDT PARK,STREET
HX512941,6800 S LOOMIS BLVD,WEST ENGLEWOOD,AUTO
HX523490,3600 W 25TH ST,SOUTH LAWNDALE,STREET
HX525267,7200 S VINCENNES AVE,GREATER GRAND CROSSING,STREET
HX529287,600 N MAYFIELD AVE,AUSTIN,STREET
HX540662,0 W 63RD ST,GREATER GRAND CROSSING,STREET
HX543012,5800 S MORGAN ST,ENGLEWOOD,STREET
HX544448,3300 W VAN BUREN ST,EAST GARFIELD PARK,VACANT LOT
HX544935,5900 S WOLCOTT AVE,WEST ENGLEWOOD,HOUSE
HT490535,8000 S STEWART AVE,CHATHAM,SIDEWALK
HX548311,3000 S KEDVALE AVE,SOUTH LAWNDALE,STREET
HX550649,7200 S HERMITAGE AVE,WEST ENGLEWOOD,STREET
HX550670,5200 W WASHINGTON BLVD,AUSTIN,STREET
HX552288,500 S CENTRAL PARK AVE,EAST GARFIELD PARK,STREET
HX553212,400 N LAWLER AVE,AUSTIN,ALLEY
HX554832,1900 S TRUMBULL AVE,NORTH LAWNDALE,HALLWAY
HY102349,5000 W SUPERIOR ST,AUSTIN,STREET
HT493484,4400 W WRIGHTWOOD AVE,HERMOSA,PARK PROPERTY
HY106555,1100 W MARQUETTE RD,ENGLEWOOD,APARTMENT
HT493746,4300 S EVANS AVE,GRAND BOULEVARD,STREET
HY108387,1200 S ALBANY AVE,NORTH LAWNDALE,AUTO
HT493839,1600 W PRATT BLVD,ROGERS PARK,SIDEWALK
HY109537,0 S KOSTNER AVE,WEST GARFIELD PARK,STREET
HY114053,3900 S CALUMET AVE,GRAND BOULEVARD,STREET
HT494026,9300 S LUELLA AVE,CALUMET HEIGHTS,SIDEWALK
HY118469,4000 W 13TH ST,NORTH LAWNDALE,AUTO
HY118913,9600 S GREEN ST,WASHINGTON HEIGHTS,ALLEY
HY122962,6600 S OAKLEY AVE,CHICAGO LAWN,YARD
HY126100,1500 S TRUMBULL AVE,NORTH LAWNDALE,STREET
HT496372,900 W 87TH ST,AUBURN GRESHAM,PARKING LOT/GARAGE(NON.RESID.)
HY126149,6700 S WESTERN AVE,CHICAGO LAWN,STREET
HY126583,4500 W WEST END AVE,WEST GARFIELD PARK,ALLEY
HT497129,400 E 79TH ST,CHATHAM,CONVENIENCE STORE
HT497480,1600 W NORTH SHORE AVE,ROGERS PARK,STREET
HY128133,3500 W 24TH ST,SOUTH LAWNDALE,STREET
HY130523,600 E 51ST ST,GRAND BOULEVARD,STREET
HY132431,11900 S YALE AVE,WEST PULLMAN,STREET
HT500523,8300 S MORGAN ST,AUBURN GRESHAM,STREET
HY134398,7000 S HONORE ST,WEST ENGLEWOOD,STREET
HY135441,10000 S MICHIGAN AVE,ROSELAND,GAS STATION
HY136871,400 E 48TH PL,GRAND BOULEVARD,HOUSE
HY145267,200 S LOTUS AVE,AUSTIN,STREET
HY152127,1400 W 71ST ST,WEST ENGLEWOOD,STREET
HY153654,5700 S HERMITAGE AVE,WEST ENGLEWOOD,STREET
HT501692,2000 E 93RD ST,CALUMET HEIGHTS,STREET
HY158116,5600 S GREEN ST,ENGLEWOOD,STREET
HY160139,2000 W 69TH ST,WEST ENGLEWOOD,STREET
HY163571,4600 W MAYPOLE AVE,AUSTIN,STREET
HY177958,200 W 105TH ST,ROSELAND,STREET
HY178055,9200 S ADA ST,WASHINGTON HEIGHTS,STREET
HT504956,1900 E 71ST PL,SOUTH SHORE,SIDEWALK
HY190108,100 S CICERO AVE,AUSTIN,AUTO
HT505027,8600 S STATE ST,CHATHAM,ALLEY
HT505555,4600 S KEELER AVE,ARCHER HEIGHTS,SIDEWALK
HY199452,5200 W QUINCY ST,AUSTIN,PORCH
HY202270,12200 S RACINE AVE,WEST PULLMAN,STREET
HY203776,5700 S MORGAN ST,ENGLEWOOD,STREET
HY204746,1200 W 56TH ST,WEST ENGLEWOOD,STREET
HT506916,1300 E 70TH ST,SOUTH SHORE,SIDEWALK
HT508001,6400 S DR MARTIN LUTHER KING JR DR,GREATER GRAND CROSSING,STREET
HY207153,2100 W 71ST PL,WEST ENGLEWOOD,STREET
HY208837,5800 S DR MARTIN LUTHER KING JR DR,WASHINGTON PARK,STREET
HY209027,7000 S NORMAL BLVD,ENGLEWOOD,STREET
HY210099,6500 S MARSHFIELD AVE,WEST ENGLEWOOD,STREET
HR534894,2500 N ASHLAND AVE,LINCOLN PARK,APARTMENT
HY218517,400 E 72ND ST,GREATER GRAND CROSSING,AUTO
HY229848,10200 S MAY ST,WASHINGTON HEIGHTS,STREET
HY229969,0 W 43RD ST,GRAND BOULEVARD,AUTO
HY230461,3400 W OGDEN AVE,NORTH LAWNDALE,LIQUOR STORE
HY236576,3500 W FLOURNOY ST,EAST GARFIELD PARK,STREET
HY242429,8000 S PRINCETON AVE,CHATHAM,HOUSE
HY242453,3700 S VINCENNES AVE,OAKLAND,STREET
HY243229,4200 W GRENSHAW ST,NORTH LAWNDALE,STREET
HY251159,7000 S SANGAMON ST,ENGLEWOOD,STREET
HY253376,7200 S GREEN ST,ENGLEWOOD,STREET
HY254085,7400 S COTTAGE GROVE AVE,GREATER GRAND CROSSING,STREET
HY259141,200 W 107TH ST,ROSELAND,AUTO
HY260356,6400 S DAMEN AVE,WEST ENGLEWOOD,STREET
HY267833,2200 W 63RD ST,CHICAGO LAWN,STREET
HY272716,6100 S HONORE ST,WEST ENGLEWOOD,STREET
HY273328,3200 W MAYPOLE AVE,EAST GARFIELD PARK,STREET
HY274555,0 E 36TH PL,DOUGLAS,STREET
HT516690,6700 S COTTAGE GROVE AVE,GREATER GRAND CROSSING,SIDEWALK
HT517442,4500 S LAVERGNE AVE,GARFIELD RIDGE,SIDEWALK
HT518266,600 E 47TH ST,GRAND BOULEVARD,SIDEWALK
HT518360,4800 S LA CROSSE AVE,GARFIELD RIDGE,ALLEY
HY274690,4900 W ERIE ST,AUSTIN,STREET
HY281912,3900 W CONGRESS PKWY,WEST GARFIELD PARK,STREET
HT518662,1700 W 17TH ST,LOWER WEST SIDE,ALLEY
HY282604,4900 W LAKE ST,AUSTIN,STREET
HY282612,100 N CICERO AVE,AUSTIN,STREET
HY283451,100 N KARLOV AVE,WEST GARFIELD PARK,PORCH
HY283497,700 N HAMLIN AVE,HUMBOLDT PARK,STREET
HT518897,2700 N KILBOURN AVE,HERMOSA,SIDEWALK
HY289763,100 W PERSHING RD,ARMOUR SQUARE,STREET
HY293164,9200 S ABERDEEN ST,WASHINGTON HEIGHTS,STREET
HY298981,7300 S GREEN ST,ENGLEWOOD,PORCH
HY303888,1400 S MILLARD AVE,NORTH LAWNDALE,STREET
HT522109,3200 N WOLCOTT AVE,NORTH CENTER,SIDEWALK
HY304267,3400 W MADISON ST,EAST GARFIELD PARK,STREET
HY305676,4100 W CULLERTON ST,NORTH LAWNDALE,STREET
HY309931,100 N PARKSIDE AVE,AUSTIN,AUTO
HY313340,200 E 35TH ST,DOUGLAS,STREET
HT524089,1600 W CHELSEA PL,MORGAN PARK,STREET
HY313549,400 W 75TH ST,GREATER GRAND CROSSING,STREET
HY314835,1400 S LAWNDALE AVE,NORTH LAWNDALE,AUTO
HY321551,4300 W FLOURNOY ST,WEST GARFIELD PARK,HOUSE
HY324033,3600 W 16TH ST,NORTH LAWNDALE,STREET
HY325121,2700 S KARLOV AVE,SOUTH LAWNDALE,STREET
HY326221,4300 S CALUMET AVE,GRAND BOULEVARD,PARK PROPERTY
HY328200,8800 S BISHOP ST,AUBURN GRESHAM,AUTO
HY332064,3200 W HURON ST,HUMBOLDT PARK,STREET
HY332515,8000 S DR MARTIN LUTHER KING JR DR,CHATHAM,PARKING LOT
HT527209,9200 S DR MARTIN LUTHER KING JR DR,ROSELAND,SIDEWALK
HT527552,700 E 45TH ST,GRAND BOULEVARD,RESIDENCE
HT527585,4600 S DREXEL BLVD,KENWOOD,SIDEWALK
HY334393,5200 S EMERALD AVE,NEW CITY,STREET
HT527930,2500 N KILBOURN AVE,HERMOSA,RESIDENTIAL YARD (FRONT/BACK)
HY335913,6800 S LAFAYETTE AVE,GREATER GRAND CROSSING,AUTO
HY338482,2400 S SAWYER AVE,SOUTH LAWNDALE,STREET
HY342285,4900 W HUBBARD ST,AUSTIN,PARK PROPERTY
HY345202,3500 W GRENSHAW ST,NORTH LAWNDALE,STREET
HT530439,200 E 115TH ST,ROSELAND,PARKING LOT/GARAGE(NON.RESID.)
HY345337,7400 S EGGLESTON AVE,GREATER GRAND CROSSING,STREET
HY346232,500 N AVERS AVE,HUMBOLDT PARK,STREET
HY354142,1200 S KOLIN AVE,NORTH LAWNDALE,STREET
HY354568,4900 W HUBBARD ST,AUSTIN,STREET
HY355926,600 N AVERS AVE,HUMBOLDT PARK,AUTO
HY361399,300 E 120TH ST,WEST PULLMAN,STREET
HY365746,11700 S LA SALLE ST,WEST PULLMAN,YARD
HY372265,100 E 117TH ST,WEST PULLMAN,STREET
HY373507,6400 S JUSTINE ST,WEST ENGLEWOOD,STREET
HY374842,1200 S ST LOUIS AVE,NORTH LAWNDALE,STREET
HT532475,7600 S SOUTH CHICAGO AVE,SOUTH SHORE,STREET
HY375951,1500 S KILDARE AVE,NORTH LAWNDALE,STREET
HT532606,8400 S CARPENTER ST,AUBURN GRESHAM,SIDEWALK
HY382553,4100 W WILCOX ST,WEST GARFIELD PARK,STREET
HY383014,300 N CENTRAL PARK AVE,EAST GARFIELD PARK,STREET
HY383024,5900 S MARSHFIELD AVE,WEST ENGLEWOOD,ALLEY
HY384750,5700 S PAULINA ST,WEST ENGLEWOOD,STREET
HY385366,1600 S SPRINGFIELD AVE,NORTH LAWNDALE,STREET
HT532724,7400 S BLACKSTONE AVE,SOUTH SHORE,STREET
HT532768,1300 E 75TH ST,SOUTH SHORE,SIDEWALK
HY386779,4300 W VAN BUREN ST,WEST GARFIELD PARK,PORCH
HT533652,4800 S ARCHER AVE,ARCHER HEIGHTS,STREET
HY386808,3800 W MONROE ST,WEST GARFIELD PARK,PORCH
HT533802,4100 N MARINE DR,UPTOWN,"SCHOOL, PUBLIC, GROUNDS"
HT534031,1700 E 75TH ST,SOUTH SHORE,RESTAURANT
HY388840,7400 S HARVARD AVE,GREATER GRAND CROSSING,YARD
HY392002,3800 W LEXINGTON ST,WEST GARFIELD PARK,STREET
HY392281,10200 S LOWE AVE,WASHINGTON HEIGHTS,STREET
HT534365,900 W 19TH PL,LOWER WEST SIDE,SIDEWALK
HY397524,10700 S WENTWORTH AVE,ROSELAND,STREET
HY400038,6600 S MICHIGAN AVE,GREATER GRAND CROSSING,AUTO
HY402928,3300 W WALNUT ST,EAST GARFIELD PARK,STREET
HT536554,2000 E 93RD ST,CALUMET HEIGHTS,SIDEWALK
HY405070,11800 S STATE ST,WEST PULLMAN,STREET
HT537513,8600 S ASHLAND AVE,AUBURN GRESHAM,STREET
HY405238,400 N LAWLER AVE,AUSTIN,PORCH
HY406754,1300 S KOSTNER AVE,NORTH LAWNDALE,PORCH
HY408008,800 W 68TH ST,ENGLEWOOD,STREET
HY408120,700 N LONG AVE,AUSTIN,STREET
HT539421,1900 E 79TH ST,SOUTH CHICAGO,SIDEWALK
HT539802,6100 S WABASH AVE,WASHINGTON PARK,SIDEWALK
HT539938,11100 S ASHLAND AVE,MORGAN PARK,RESIDENTIAL YARD (FRONT/BACK)
HY410924,1800 S DRAKE AVE,NORTH LAWNDALE,STREET
HY411806,200 N HAMLIN BLVD,EAST GARFIELD PARK,PARK PROPERTY
HY423657,3800 W VAN BUREN ST,WEST GARFIELD PARK,STREET
HY427585,200 S LARAMIE AVE,AUSTIN,STREET
HY429076,5500 W CONGRESS PKWY,AUSTIN,STREET
HY430209,3400 W FLOURNOY ST,EAST GARFIELD PARK,YARD
HY430544,5800 S LA SALLE ST,ENGLEWOOD,STREET
HY430656,11700 S LA SALLE ST,WEST PULLMAN,STREET
HY436629,3000 S MICHIGAN AVE,DOUGLAS,STREET
HY437443,12100 S BISHOP ST,WEST PULLMAN,HOUSE
HY439020,700 E 47TH ST,GRAND BOULEVARD,HALLWAY
HY439941,9600 S MORGAN ST,WASHINGTON HEIGHTS,STREET
HY440415,3900 W ROOSEVELT RD,NORTH LAWNDALE,STREET
HY442430,300 W 42ND ST,FULLER PARK,PARK PROPERTY
HY444358,10700 S EGGLESTON AVE,ROSELAND,YARD
HY449587,6800 S LOOMIS BLVD,WEST ENGLEWOOD,HOUSE
HY451886,4300 W MAYPOLE AVE,WEST GARFIELD PARK,AUTO
HY455431,4900 W CONGRESS PKWY,AUSTIN,YARD
HY456368,400 N SPRINGFIELD AVE,HUMBOLDT PARK,AUTO
HY457542,5400 S PRAIRIE AVE,WASHINGTON PARK,AUTO
HY461959,7700 S INDIANA AVE,GREATER GRAND CROSSING,STREET
HY462383,9700 S PEORIA ST,WASHINGTON HEIGHTS,STREET
HY463892,6000 S ABERDEEN ST,ENGLEWOOD,STREET
HY468621,300 S CICERO AVE,AUSTIN,GAS STATION DRIVE/PROP.
HY474220,2500 S HARDING AVE,SOUTH LAWNDALE,PORCH
HY474981,5300 S UNION AVE,NEW CITY,STREET
HY475493,4500 W ADAMS ST,WEST GARFIELD PARK,STREET
HY476607,4800 W MADISON ST,AUSTIN,STREET
HY476639,5100 S MICHIGAN AVE,WASHINGTON PARK,APARTMENT
HY484627,4100 W 31ST ST,SOUTH LAWNDALE,STREET
HT544982,7300 S ARTESIAN AVE,CHICAGO LAWN,STREET
HY486607,7300 S MAY ST,ENGLEWOOD,STREET
HT546278,7100 S JEFFERY BLVD,SOUTH SHORE,SIDEWALK
HY487514,3200 W 15TH ST,NORTH LAWNDALE,STREET
HY493451,2200 W 59TH ST,GAGE PARK,STREET
HT547555,6400 N OAKLEY AVE,WEST RIDGE,SIDEWALK
HY493495,700 W 59TH ST,ENGLEWOOD,AUTO
HY495347,300 E 120TH PL,WEST PULLMAN,STREET
HT549776,2100 S ASHLAND AVE,LOWER WEST SIDE,SIDEWALK
HY498291,100 E 127TH ST,WEST PULLMAN,AUTO
HY498680,4400 W MONROE ST,WEST GARFIELD PARK,PORCH
HY505905,200 W 112TH ST,ROSELAND,HOUSE
HY509229,7000 S CALUMET AVE,GREATER GRAND CROSSING,AUTO
HY509513,1200 W 71ST PL,WEST ENGLEWOOD,STREET
HY511115,900 W 71ST ST,ENGLEWOOD,STREET
HY511394,5400 W RACE AVE,AUSTIN,STREET
HY511439,5700 S UNION AVE,ENGLEWOOD,STREET
HY514161,5700 S MORGAN ST,ENGLEWOOD,STREET
HT552999,10300 S CALHOUN AVE,SOUTH DEERING,RESIDENTIAL YARD (FRONT/BACK)
HY515241,3300 W VAN BUREN ST,EAST GARFIELD PARK,STREET
HT553190,3100 N HOYNE AVE,NORTH CENTER,STREET
HY516538,0 N HAMLIN BLVD,WEST GARFIELD PARK,AUTO
HY517759,6600 S MARSHFIELD AVE,WEST ENGLEWOOD,YARD
HY517997,2300 S CALIFORNIA AVE,SOUTH LAWNDALE,STREET
HY518079,11500 S PERRY AVE,WEST PULLMAN,APARTMENT
HY518110,5300 S UNION AVE,NEW CITY,AUTO
HY518381,6500 S SANGAMON ST,ENGLEWOOD,HOUSE
HY518961,900 W 59TH ST,ENGLEWOOD,YARD
HY522926,12000 S MICHIGAN AVE,WEST PULLMAN,STREET
HY524769,4100 W 21ST ST,NORTH LAWNDALE,STREET
HY528984,4800 W GLADYS AVE,AUSTIN,STREET
HY533782,700 W 92ND ST,WASHINGTON HEIGHTS,STREET
HY535056,5200 S WABASH AVE,WASHINGTON PARK,STREET
HP505936,1000 E 130TH ST,RIVERDALE,AUTO
HY535398,7200 S MAY ST,ENGLEWOOD,STREET
HH410612,1400 W 13TH ST,NEAR WEST SIDE,STREET
HY540283,6800 S ANTHONY AVE,GREATER GRAND CROSSING,TRUCK
HY547060,5900 S PRINCETON AVE,ENGLEWOOD,STREET
HY549155,7300 S VERNON AVE,GREATER GRAND CROSSING,STREET
HY549247,300 W 111TH PL,ROSELAND,STREET
HY549737,7100 S UNION AVE,ENGLEWOOD,STREET
HV285267,1300 S THROOP ST,NEAR WEST SIDE,STREET
HS149738,3800 W 79TH PL,ASHBURN,SIDEWALK
HY550929,600 S TRIPP AVE,WEST GARFIELD PARK,STREET
HY551081,2800 W 21ST ST,SOUTH LAWNDALE,STREET
HY551250,5900 S WENTWORTH AVE,ENGLEWOOD,STREET
HY551683,300 W 116TH ST,WEST PULLMAN,ALLEY
HZ101042,6100 S SANGAMON ST,ENGLEWOOD,AUTO
HZ103309,400 N CENTRAL AVE,AUSTIN,STREET
HZ106402,500 S KOSTNER AVE,WEST GARFIELD PARK,PARKING LOT
HZ109011,1500 S KEDZIE AVE,NORTH LAWNDALE,STREET
HZ112330,700 N LAVERGNE AVE,AUSTIN,STREET
HT558219,8400 S PAULINA ST,AUBURN GRESHAM,SIDEWALK
HZ113821,4600 W MADISON ST,AUSTIN,STREET
HZ115723,2600 S HARDING AVE,SOUTH LAWNDALE,STREET
HZ122514,5700 S GREEN ST,ENGLEWOOD,STREET
HZ123801,4600 W HURON ST,AUSTIN,STREET
HZ125462,3300 W POLK ST,EAST GARFIELD PARK,STREET
HZ126759,3400 W POLK ST,EAST GARFIELD PARK,APARTMENT
HZ127802,2000 W MARQUETTE RD,WEST ENGLEWOOD,STREET
HZ127959,7200 S MAY ST,ENGLEWOOD,STREET
HZ128452,3000 S KEDVALE AVE,SOUTH LAWNDALE,STREET
HZ128731,10600 S SANGAMON ST,WASHINGTON HEIGHTS,AUTO
HT562550,4400 S EVANS AVE,GRAND BOULEVARD,"SCHOOL, PUBLIC, GROUNDS"
HZ129627,0 S LEAMINGTON AVE,AUSTIN,STREET
HZ131333,3000 S WABASH AVE,DOUGLAS,STREET
HZ133792,5900 S BISHOP ST,WEST ENGLEWOOD,STREET
HT564055,8100 S EAST END AVE,AVALON PARK,STREET
HZ133857,4500 W WASHINGTON BLVD,WEST GARFIELD PARK,STREET
HZ136077,500 S CICERO AVE,AUSTIN,POOLROOM
HZ136386,9000 S MAY ST,WASHINGTON HEIGHTS,APARTMENT
HZ138288,3400 W FLOURNOY ST,EAST GARFIELD PARK,STREET
HP503779,7600 S COTTAGE GROVE AVE,GREATER GRAND CROSSING,HOTEL
HZ138606,5000 W FERDINAND ST,AUSTIN,STREET
HZ142006,7100 S CALUMET AVE,GREATER GRAND CROSSING,APARTMENT
HT564483,6700 S ST LAWRENCE AVE,WOODLAWN,VEHICLE NON-COMMERCIAL
B435329,1300 E 53RD ST,HYDE PARK,RESTAURANT
HZ144354,6900 S MARSHFIELD AVE,WEST ENGLEWOOD,AUTO
HZ149984,300 S CICERO AVE,AUSTIN,HOUSE
HZ150950,9600 S SANGAMON ST,WASHINGTON HEIGHTS,STREET
HZ151213,5000 S CHAMPLAIN AVE,GRAND BOULEVARD,APARTMENT
HZ158821,300 E 56TH ST,WASHINGTON PARK,ALLEY
HZ160701,6400 S EGGLESTON AVE,ENGLEWOOD,STREET
HZ163102,1500 S LAWNDALE AVE,NORTH LAWNDALE,ALLEY
HZ163823,400 S KILPATRICK AVE,AUSTIN,STREET
HT566624,7400 S STONY ISLAND AVE,SOUTH SHORE,ALLEY
HS171392,3000 W BELDEN AVE,LOGAN SQUARE,STREET
HZ163828,5300 W HURON ST,AUSTIN,STREET
HZ170956,3900 W JACKSON BLVD,WEST GARFIELD PARK,STREET
HZ171909,300 N CENTRAL AVE,AUSTIN,CLEANERS/LAUNDROMAT
HZ181474,4600 W MONROE ST,AUSTIN,VACANT LOT
HZ182882,7300 S PAULINA ST,WEST ENGLEWOOD,AUTO
HZ183749,3800 W FLOURNOY ST,WEST GARFIELD PARK,STREET
HT568980,6900 N ASHLAND BLVD,ROGERS PARK,SIDEWALK
HZ188579,1200 W 69TH ST,WEST ENGLEWOOD,RETAIL STORE
HZ191185,3400 W CHICAGO AVE,HUMBOLDT PARK,ALLEY
HZ196125,2000 W 70TH PL,WEST ENGLEWOOD,AUTO
HZ196585,0 N KEELER AVE,WEST GARFIELD PARK,STREET
HZ201953,7000 S PAULINA ST,WEST ENGLEWOOD,STREET
HZ208332,4300 W WILCOX ST,WEST GARFIELD PARK,STREET
HZ215033,4900 W MADISON ST,AUSTIN,PARKING LOT
HT572488,900 E 79TH ST,GREATER GRAND CROSSING,SIDEWALK
HZ217559,4700 W HURON ST,AUSTIN,STREET
HT573587,700 E 47TH ST,GRAND BOULEVARD,STREET
HZ220302,0 W 111TH ST,ROSELAND,HOSPITAL
HZ222268,2800 S KEDVALE AVE,SOUTH LAWNDALE,STREET
HZ227783,7400 S EGGLESTON AVE,ENGLEWOOD,GARAGE
HT575599,1100 N ASHLAND AVE,WEST TOWN,STREET
HZ229167,1200 S CENTRAL PARK AVE,NORTH LAWNDALE,STREET
HZ236683,1600 S KEDZIE AVE,NORTH LAWNDALE,STREET
HZ237638,11400 S STEWART AVE,ROSELAND,STREET
HT577560,9100 S URBAN AVE,ROSELAND,RESIDENTIAL YARD (FRONT/BACK)
HT577874,7800 S CREGIER AVE,SOUTH SHORE,SIDEWALK
HT578307,1700 N FRANCISCO AVE,WEST TOWN,SIDEWALK
HZ237802,3200 W DOUGLAS BLVD,NORTH LAWNDALE,ALLEY
HZ238862,2000 W 68TH PL,WEST ENGLEWOOD,STREET
HZ239770,7300 S SANGAMON ST,ENGLEWOOD,STREET
HZ240426,9000 S ABERDEEN ST,WASHINGTON HEIGHTS,DRIVEWAY
HZ245274,6800 S SANGAMON ST,ENGLEWOOD,STREET
HZ245561,2200 S KOLIN AVE,NORTH LAWNDALE,STREET
HT583205,7800 S LUELLA AVE,SOUTH SHORE,SIDEWALK
HZ245624,1800 S CENTRAL PARK AVE,NORTH LAWNDALE,GANGWAY
HZ246022,5400 S WENTWORTH AVE,FULLER PARK,PARKING LOT
HZ248984,7100 S LAFLIN ST,WEST ENGLEWOOD,STREET
HZ249724,4900 W MONROE ST,AUSTIN,STREET
HZ254577,7400 S UNION AVE,ENGLEWOOD,STREET
HZ255700,400 S CICERO AVE,AUSTIN,STREET
A688919,1900 E 80TH ST,SOUTH CHICAGO,STREET
HZ256000,7600 S PRAIRIE AVE,GREATER GRAND CROSSING,STREET
HT586589,5100 S ROCKWELL ST,GAGE PARK,VEHICLE NON-COMMERCIAL
HZ256216,200 S KARLOV AVE,WEST GARFIELD PARK,STREET
HZ256331,3400 W ARTHINGTON ST,EAST GARFIELD PARK,STREET
HZ259563,7400 S INGLESIDE AVE,GREATER GRAND CROSSING,YARD
HT588083,10800 S INDIANA AVE,ROSELAND,RESIDENCE-GARAGE
HZ260932,1500 W 71ST ST,WEST ENGLEWOOD,HOUSE
HZ260994,500 W 126TH ST,WEST PULLMAN,STREET
HZ262777,5400 S INDIANA AVE,WASHINGTON PARK,AUTO
HT590834,1200 S THROOP ST,NEAR WEST SIDE,CHA APARTMENT
HZ264420,5300 W HARRISON ST,AUSTIN,STREET
HZ265106,2500 S WHIPPLE ST,SOUTH LAWNDALE,STREET
HZ265167,4900 W WASHINGTON BLVD,AUSTIN,STREET
HZ265551,0 N LOREL AVE,AUSTIN,STREET
HT591122,11300 S NORMAL AVE,ROSELAND,SIDEWALK
HZ265978,1500 S KARLOV AVE,NORTH LAWNDALE,STREET
HZ271793,6900 S PRAIRIE AVE,GREATER GRAND CROSSING,HOUSE
HT593892,2000 N OAKLEY AVE,LOGAN SQUARE,SIDEWALK
HZ272490,3500 S STATE ST,DOUGLAS,STREET
HZ273076,0 W GARFIELD BLVD,WASHINGTON PARK,STREET
HT594436,900 W 76TH ST,AUBURN GRESHAM,SIDEWALK
HZ273852,3600 W 13TH ST,NORTH LAWNDALE,STREET
HZ274048,7000 S CARPENTER ST,ENGLEWOOD,STREET
HZ275089,6900 S WABASH AVE,GREATER GRAND CROSSING,STREET
HZ278320,5700 S CALUMET AVE,WASHINGTON PARK,STREET
